cluster_id	Amplitude
0	1728.9
1	1457.0
2	1728.8
3	1688.3
4	2121.6
5	1522.7
6	1433.7
7	1959.9
8	0.0
9	2108.3
10	1705.2
11	1729.9
12	1746.2
13	1542.6
14	1556.1
15	2003.5
16	1774.3
17	1479.2
18	2016.0
19	1642.1
20	1797.8
21	1800.8
22	1769.2
23	2023.5
24	2170.3
25	1903.1
26	1825.4
27	1873.0
28	1772.3
29	1737.4
30	1880.8
31	1630.8
32	1843.3
33	1826.7
34	1858.3
35	1805.4
36	1859.3
37	1776.2
38	2052.6
39	1890.8
40	1698.7
41	1905.6
42	1648.0
43	1770.3
44	1821.1
45	1766.5
46	1980.7
47	1771.4
48	1358.0
49	1781.3
50	1740.3
51	1589.9
52	1951.6
53	1851.2
54	2132.3
55	2019.6
56	2260.4
57	2697.7
58	2381.8
59	2245.6
60	2073.2
61	2197.1
62	1639.1
63	1844.5
64	2014.0
65	1702.7
66	1741.7
67	2244.3
68	1857.4
69	2201.3
70	1897.9
71	2085.8
72	2371.0
73	2347.5
74	1977.7
75	1914.4
76	2149.2
77	2279.3
78	2528.6
79	2421.1
80	2549.6
81	2446.8
82	1821.9
83	1549.1
